"Requirement","Level","Status","Evidence","Notes"
"v5.0.0-5.4.3","2","Gap","","Requirement-level verification has not been completed."
"v5.0.0-6.1.1","1","Gap","","Requirement-level verification has not been completed."
"v5.0.0-6.1.2","2","Gap","","Requirement-level verification has not been completed."
"v5.0.0-6.1.3","2","Gap","","Requirement-level verification has not been completed."
"v5.0.0-6.2.1","1","Gap","","Requirement-level verification has not been completed."
"v5.0.0-6.2.2","1","Gap","","Requirement-level verification has not been completed."
"v5.0.0-6.2.3","1","Gap","","Requirement-level verification has not been completed."
"v5.0.0-6.2.4","1","Gap","","Requirement-level verification has not been completed."
"v5.0.0-6.2.5","1","Gap","","Requirement-level verification has not been completed."
"v5.0.0-6.2.6","1","Gap","","Requirement-level verification has not been completed."
"v5.0.0-6.2.7","1","Gap","","Requirement-level verification has not been completed."
"v5.0.0-6.2.8","1","Gap","","Requirement-level verification has not been completed."
"v5.0.0-6.2.9","2","Gap","","Requirement-level verification has not been completed."
"v5.0.0-6.2.10","2","Gap","","Requirement-level verification has not been completed."
"v5.0.0-6.2.11","2","Gap","","Requirement-level verification has not been completed."
"v5.0.0-6.2.12","2","Gap","","Requirement-level verification has not been completed."
"v5.0.0-6.3.1","1","Gap","","Requirement-level verification has not been completed."
"v5.0.0-6.3.2","1","Gap","","Requirement-level verification has not been completed."
"v5.0.0-6.3.3","2","Gap","","Requirement-level verification has not been completed."
"v5.0.0-6.3.4","2","Gap","","Requirement-level verification has not been completed."
"v5.0.0-6.3.5","3","Gap","","Requirement-level verification has not been completed."
"v5.0.0-6.3.6","3","Gap","","Requirement-level verification has not been completed."
"v5.0.0-6.3.7","3","Gap","","Requirement-level verification has not been completed."
"v5.0.0-6.3.8","3","Gap","","Requirement-level verification has not been completed."
"v5.0.0-6.4.1","1","Gap","","Requirement-level verification has not been completed."
"v5.0.0-6.4.2","1","Gap","","Requirement-level verification has not been completed."
"v5.0.0-6.4.3","2","Gap","","Requirement-level verification has not been completed."
"v5.0.0-6.4.4","2","Gap","","Requirement-level verification has not been completed."
"v5.0.0-6.4.5","3","Gap","","Requirement-level verification has not been completed."
"v5.0.0-6.4.6","3","Gap","","Requirement-level verification has not been completed."
"v5.0.0-6.5.1","2","Gap","","Requirement-level verification has not been completed."
"v5.0.0-6.5.2","2","Gap","","Requirement-level verification has not been completed."
"v5.0.0-6.5.3","2","Gap","","Requirement-level verification has not been completed."
"v5.0.0-6.5.4","2","Gap","","Requirement-level verification has not been completed."
"v5.0.0-6.5.5","2","Gap","","Requirement-level verification has not been completed."
"v5.0.0-6.5.6","3","Gap","","Requirement-level verification has not been completed."
"v5.0.0-6.5.7","3","Gap","","Requirement-level verification has not been completed."
"v5.0.0-6.5.8","3","Gap","","Requirement-level verification has not been completed."
"v5.0.0-6.6.1","2","Gap","","Requirement-level verification has not been completed."
"v5.0.0-6.6.2","2","Gap","","Requirement-level verification has not been completed."
"v5.0.0-6.6.3","2","Gap","","Requirement-level verification has not been completed."
"v5.0.0-6.6.4","3","Gap","","Requirement-level verification has not been completed."
"v5.0.0-6.7.1","3","Gap","","Requirement-level verification has not been completed."
"v5.0.0-6.7.2","3","Gap","","Requirement-level verification has not been completed."
"v5.0.0-6.8.1","2","Gap","","Requirement-level verification has not been completed."
"v5.0.0-6.8.2","2","Gap","","Requirement-level verification has not been completed."
"v5.0.0-6.8.3","2","Gap","","Requirement-level verification has not been completed."
"v5.0.0-6.8.4","2","Gap","","Requirement-level verification has not been completed."
"v5.0.0-7.1.1","2","Gap","","Requirement-level verification has not been completed."
"v5.0.0-7.1.2","2","Gap","","Requirement-level verification has not been completed."
"v5.0.0-7.1.3","2","Gap","","Requirement-level verification has not been completed."
"v5.0.0-7.2.1","1","Gap","","Requirement-level verification has not been completed."
"v5.0.0-7.2.2","1","Gap","","Requirement-level verification has not been completed."
"v5.0.0-7.2.3","1","Gap","","Requirement-level verification has not been completed."
"v5.0.0-7.2.4","1","Gap","","Requirement-level verification has not been completed."
"v5.0.0-7.3.1","2","Gap","","Requirement-level verification has not been completed."
"v5.0.0-7.3.2","2","Gap","","Requirement-level verification has not been completed."
"v5.0.0-7.4.1","1","Gap","","Requirement-level verification has not been completed."
"v5.0.0-7.4.2","1","Gap","","Requirement-level verification has not been completed."
"v5.0.0-7.4.3","2","Gap","","Requirement-level verification has not been completed."
"v5.0.0-7.4.4","2","Gap","","Requirement-level verification has not been completed."
"v5.0.0-7.4.5","2","Gap","","Requirement-level verification has not been completed."
"v5.0.0-7.5.1","2","Gap","","Requirement-level verification has not been completed."
"v5.0.0-7.5.2","2","Gap","","Requirement-level verification has not been completed."
"v5.0.0-7.5.3","3","Gap","","Requirement-level verification has not been completed."
"v5.0.0-7.6.1","2","Gap","","Requirement-level verification has not been completed."
"v5.0.0-7.6.2","2","Gap","","Requirement-level verification has not been completed."
"v5.0.0-8.1.1","1","Gap","","Requirement-level verification has not been completed."
"v5.0.0-8.1.2","2","Gap","","Requirement-level verification has not been completed."
"v5.0.0-8.1.3","3","Gap","","Requirement-level verification has not been completed."
"v5.0.0-8.1.4","3","Gap","","Requirement-level verification has not been completed."
"v5.0.0-8.2.1","1","Gap","","Requirement-level verification has not been completed."
"v5.0.0-8.2.2","1","Gap","","Requirement-level verification has not been completed."
"v5.0.0-8.2.3","2","Gap","","Requirement-level verification has not been completed."
"v5.0.0-8.2.4","3","Gap","","Requirement-level verification has not been completed."
"v5.0.0-8.3.1","1","Gap","","Requirement-level verification has not been completed."
"v5.0.0-8.3.2","3","Gap","","Requirement-level verification has not been completed."
"v5.0.0-8.3.3","3","Gap","","Requirement-level verification has not been completed."
"v5.0.0-8.4.1","2","Gap","","Requirement-level verification has not been completed."
"v5.0.0-8.4.2","3","Gap","","Requirement-level verification has not been completed."
"v5.0.0-9.1.1","1","Gap","","Requirement-level verification has not been completed."
"v5.0.0-9.1.2","1","Gap","","Requirement-level verification has not been completed."
"v5.0.0-9.1.3","1","Gap","","Requirement-level verification has not been completed."
"v5.0.0-9.2.1","1","Gap","","Requirement-level verification has not been completed."
"v5.0.0-9.2.2","2","Gap","","Requirement-level verification has not been completed."
"v5.0.0-9.2.3","2","Gap","","Requirement-level verification has not been completed."
"v5.0.0-9.2.4","2","Gap","","Requirement-level verification has not been completed."
"v5.0.0-10.1.1","2","Gap","","Requirement-level verification has not been completed."
"v5.0.0-10.1.2","2","Gap","","Requirement-level verification has not been completed."
"v5.0.0-10.2.1","2","Gap","","Requirement-level verification has not been completed."
"v5.0.0-10.2.2","2","Gap","","Requirement-level verification has not been completed."
"v5.0.0-10.2.3","3","Gap","","Requirement-level verification has not been completed."
"v5.0.0-10.3.1","2","Gap","","Requirement-level verification has not been completed."
"v5.0.0-10.3.2","2","Gap","","Requirement-level verification has not been completed."
"v5.0.0-10.3.3","2","Gap","","Requirement-level verification has not been completed."
"v5.0.0-10.3.4","2","Gap","","Requirement-level verification has not been completed."
"v5.0.0-10.3.5","3","Gap","","Requirement-level verification has not been completed."
"v5.0.0-10.4.1","1","Gap","","Requirement-level verification has not been completed."
"v5.0.0-10.4.2","1","Gap","","Requirement-level verification has not been completed."
"v5.0.0-10.4.3","1","Gap","","Requirement-level verification has not been completed."
"v5.0.0-10.4.4","1","Gap","","Requirement-level verification has not been completed."
"v5.0.0-10.4.5","1","Gap","","Requirement-level verification has not been completed."
"v5.0.0-10.4.6","2","Gap","","Requirement-level verification has not been completed."
"v5.0.0-10.4.7","2","Gap","","Requirement-level verification has not been completed."
"v5.0.0-10.4.8","2","Gap","","Requirement-level verification has not been completed."
"v5.0.0-10.4.9","2","Gap","","Requirement-level verification has not been completed."
"v5.0.0-10.4.10","2","Gap","","Requirement-level verification has not been completed."
"v5.0.0-10.4.11","2","Gap","","Requirement-level verification has not been completed."
"v5.0.0-10.4.12","3","Gap","","Requirement-level verification has not been completed."
"v5.0.0-10.4.13","3","Gap","","Requirement-level verification has not been completed."
"v5.0.0-10.4.14","3","Gap","","Requirement-level verification has not been completed."
"v5.0.0-10.4.15","3","Gap","","Requirement-level verification has not been completed."
"v5.0.0-10.4.16","3","Gap","","Requirement-level verification has not been completed."
"v5.0.0-10.5.1","2","Gap","","Requirement-level verification has not been completed."
"v5.0.0-10.5.2","2","Gap","","Requirement-level verification has not been completed."
"v5.0.0-10.5.3","2","Gap","","Requirement-level verification has not been completed."
"v5.0.0-10.5.4","2","Gap","","Requirement-level verification has not been completed."
"v5.0.0-10.5.5","2","Gap","","Requirement-level verification has not been completed."
"v5.0.0-10.6.1","2","Gap","","Requirement-level verification has not been completed."
"v5.0.0-10.6.2","2","Gap","","Requirement-level verification has not been completed."
"v5.0.0-10.7.1","2","Gap","","Requirement-level verification has not been completed."
"v5.0.0-10.7.2","2","Gap","","Requirement-level verification has not been completed."
"v5.0.0-10.7.3","2","Gap","","Requirement-level verification has not been completed."
"v5.0.0-11.1.1","2","Gap","","Requirement-level verification has not been completed."
"v5.0.0-11.1.2","2","Gap","","Requirement-level verification has not been completed."
"v5.0.0-11.1.3","3","Gap","","Requirement-level verification has not been completed."
"v5.0.0-11.1.4","3","Gap","","Requirement-level verification has not been completed."
"v5.0.0-11.2.1","2","Gap","","Requirement-level verification has not been completed."
"v5.0.0-11.2.2","2","Gap","","Requirement-level verification has not been completed."
"v5.0.0-11.2.3","2","Gap","","Requirement-level verification has not been completed."
"v5.0.0-11.2.4","3","Gap","","Requirement-level verification has not been completed."
"v5.0.0-11.2.5","3","Gap","","Requirement-level verification has not been completed."
"v5.0.0-11.3.1","1","Gap","","Requirement-level verification has not been completed."
"v5.0.0-11.3.2","1","Gap","","Requirement-level verification has not been completed."
"v5.0.0-11.3.3","2","Gap","","Requirement-level verification has not been completed."
"v5.0.0-11.3.4","3","Gap","","Requirement-level verification has not been completed."
"v5.0.0-11.3.5","3","Gap","","Requirement-level verification has not been completed."
"v5.0.0-11.4.1","1","Gap","","Requirement-level verification has not been completed."
"v5.0.0-11.4.2","2","Gap","","Requirement-level verification has not been completed."
"v5.0.0-11.4.3","2","Gap","","Requirement-level verification has not been completed."
"v5.0.0-11.4.4","2","Gap","","Requirement-level verification has not been completed."
"v5.0.0-11.5.1","2","Gap","","Requirement-level verification has not been completed."
"v5.0.0-11.5.2","3","Gap","","Requirement-level verification has not been completed."
"v5.0.0-11.6.1","2","Gap","","Requirement-level verification has not been completed."
"v5.0.0-11.6.2","3","Gap","","Requirement-level verification has not been completed."
"v5.0.0-11.7.1","3","Gap","","Requirement-level verification has not been completed."
"v5.0.0-11.7.2","3","Gap","","Requirement-level verification has not been completed."
"v5.0.0-12.1.1","1","Gap","","Requirement-level verification has not been completed."
"v5.0.0-12.1.2","2","Gap","","Requirement-level verification has not been completed."
"v5.0.0-12.1.3","2","Gap","","Requirement-level verification has not been completed."
"v5.0.0-12.1.4","3","Gap","","Requirement-level verification has not been completed."
"v5.0.0-12.1.5","3","Gap","","Requirement-level verification has not been completed."
"v5.0.0-12.2.1","1","Gap","","Requirement-level verification has not been completed."
"v5.0.0-12.2.2","1","Gap","","Requirement-level verification has not been completed."
"v5.0.0-12.3.1","2","Gap","","Requirement-level verification has not been completed."
"v5.0.0-12.3.2","2","Gap","","Requirement-level verification has not been completed."
"v5.0.0-12.3.3","2","Gap","","Requirement-level verification has not been completed."
"v5.0.0-12.3.4","2","Gap","","Requirement-level verification has not been completed."
"v5.0.0-12.3.5","3","Gap","","Requirement-level verification has not been completed."
"v5.0.0-13.1.1","2","Gap","","Requirement-level verification has not been completed."
"v5.0.0-13.1.2","3","Gap","","Requirement-level verification has not been completed."
"v5.0.0-13.1.3","3","Gap","","Requirement-level verification has not been completed."
"v5.0.0-13.1.4","3","Gap","","Requirement-level verification has not been completed."
"v5.0.0-13.2.1","2","Gap","","Requirement-level verification has not been completed."
"v5.0.0-13.2.2","2","Gap","","Requirement-level verification has not been completed."
"v5.0.0-13.2.3","2","Gap","","Requirement-level verification has not been completed."
"v5.0.0-13.2.4","2","Gap","","Requirement-level verification has not been completed."
"v5.0.0-13.2.5","2","Gap","","Requirement-level verification has not been completed."
"v5.0.0-13.2.6","3","Gap","","Requirement-level verification has not been completed."
"v5.0.0-13.3.1","2","Gap","","Requirement-level verification has not been completed."
"v5.0.0-13.3.2","2","Gap","","Requirement-level verification has not been completed."
"v5.0.0-13.3.3","3","Gap","","Requirement-level verification has not been completed."
"v5.0.0-13.3.4","3","Gap","","Requirement-level verification has not been completed."
"v5.0.0-13.4.1","1","Gap","","Requirement-level verification has not been completed."
"v5.0.0-13.4.2","2","Gap","","Requirement-level verification has not been completed."
"v5.0.0-13.4.3","2","Gap","","Requirement-level verification has not been completed."
"v5.0.0-13.4.4","2","Gap","","Requirement-level verification has not been completed."
"v5.0.0-13.4.5","2","Gap","","Requirement-level verification has not been completed."
"v5.0.0-13.4.6","3","Gap","","Requirement-level verification has not been completed."
"v5.0.0-13.4.7","3","Gap","","Requirement-level verification has not been completed."
"v5.0.0-14.1.1","2","Gap","","Requirement-level verification has not been completed."
"v5.0.0-14.1.2","2","Gap","","Requirement-level verification has not been completed."
"v5.0.0-14.2.1","1","Gap","","Requirement-level verification has not been completed."
"v5.0.0-14.2.2","2","Gap","","Requirement-level verification has not been completed."
"v5.0.0-14.2.3","2","Gap","","Requirement-level verification has not been completed."
"v5.0.0-14.2.4","2","Gap","","Requirement-level verification has not been completed."
"v5.0.0-14.2.5","3","Gap","","Requirement-level verification has not been completed."
"v5.0.0-14.2.6","3","Gap","","Requirement-level verification has not been completed."
"v5.0.0-14.2.7","3","Gap","","Requirement-level verification has not been completed."
"v5.0.0-14.2.8","3","Gap","","Requirement-level verification has not been completed."
"v5.0.0-14.3.1","1","Gap","","Requirement-level verification has not been completed."
"v5.0.0-14.3.2","2","Gap","","Requirement-level verification has not been completed."
"v5.0.0-14.3.3","2","Gap","","Requirement-level verification has not been completed."
"v5.0.0-15.1.1","1","Gap","","Requirement-level verification has not been completed."
"v5.0.0-15.1.2","2","Gap","","Requirement-level verification has not been completed."
"v5.0.0-15.1.3","2","Gap","","Requirement-level verification has not been completed."
"v5.0.0-15.1.4","3","Gap","","Requirement-level verification has not been completed."
"v5.0.0-15.1.5","3","Gap","","Requirement-level verification has not been completed."
"v5.0.0-15.2.1","1","Gap","","Requirement-level verification has not been completed."
"v5.0.0-15.2.2","2","Gap","","Requirement-level verification has not been completed."
"v5.0.0-15.2.3","2","Gap","","Requirement-level verification has not been completed."
"v5.0.0-15.2.4","3","Gap","","Requirement-level verification has not been completed."
"v5.0.0-15.2.5","3","Gap","","Requirement-level verification has not been completed."
"v5.0.0-15.3.1","1","Gap","","Requirement-level verification has not been completed."
"v5.0.0-15.3.2","2","Gap","","Requirement-level verification has not been completed."
"v5.0.0-15.3.3","2","Gap","","Requirement-level verification has not been completed."
"v5.0.0-15.3.4","2","Gap","","Requirement-level verification has not been completed."
"v5.0.0-15.3.5","2","Gap","","Requirement-level verification has not been completed."
"v5.0.0-15.3.6","2","Gap","","Requirement-level verification has not been completed."
"v5.0.0-15.3.7","2","Gap","","Requirement-level verification has not been completed."
"v5.0.0-15.4.1","3","Gap","","Requirement-level verification has not been completed."
"v5.0.0-15.4.2","3","Gap","","Requirement-level verification has not been completed."
"v5.0.0-15.4.3","3","Gap","","Requirement-level verification has not been completed."
"v5.0.0-15.4.4","3","Gap","","Requirement-level verification has not been completed."
"v5.0.0-16.1.1","2","Gap","","Requirement-level verification has not been completed."
"v5.0.0-16.2.1","2","Gap","","Requirement-level verification has not been completed."
"v5.0.0-16.2.2","2","Gap","","Requirement-level verification has not been completed."
"v5.0.0-16.2.3","2","Gap","","Requirement-level verification has not been completed."
"v5.0.0-16.2.4","2","Gap","","Requirement-level verification has not been completed."
"v5.0.0-16.2.5","2","Gap","","Requirement-level verification has not been completed."
"v5.0.0-16.3.1","2","Gap","","Requirement-level verification has not been completed."
"v5.0.0-16.3.2","2","Gap","","Requirement-level verification has not been completed."
"v5.0.0-16.3.3","2","Gap","","Requirement-level verification has not been completed."
"v5.0.0-16.3.4","2","Gap","","Requirement-level verification has not been completed."
"v5.0.0-16.4.1","2","Gap","","Requirement-level verification has not been completed."
"v5.0.0-16.4.2","2","Gap","","Requirement-level verification has not been completed."
"v5.0.0-16.4.3","2","Gap","","Requirement-level verification has not been completed."
"v5.0.0-16.5.1","2","Gap","","Requirement-level verification has not been completed."
"v5.0.0-16.5.2","2","Gap","","Requirement-level verification has not been completed."
"v5.0.0-16.5.3","2","Gap","","Requirement-level verification has not been completed."
"v5.0.0-16.5.4","3","Gap","","Requirement-level verification has not been completed."
"v5.0.0-17.1.1","2","Gap","","Requirement-level verification has not been completed."
"v5.0.0-17.1.2","3","Gap","","Requirement-level verification has not been completed."
"v5.0.0-17.2.1","2","Gap","","Requirement-level verification has not been completed."
"v5.0.0-17.2.2","2","Gap","","Requirement-level verification has not been completed."
"v5.0.0-17.2.3","2","Gap","","Requirement-level verification has not been completed."
"v5.0.0-17.2.4","2","Gap","","Requirement-level verification has not been completed."
"v5.0.0-17.2.5","3","Gap","","Requirement-level verification has not been completed."
"v5.0.0-17.2.6","3","Gap","","Requirement-level verification has not been completed."
"v5.0.0-17.2.7","3","Gap","","Requirement-level verification has not been completed."
"v5.0.0-17.2.8","3","Gap","","Requirement-level verification has not been completed."
"v5.0.0-17.3.1","2","Gap","","Requirement-level verification has not been completed."
"v5.0.0-17.3.2","2","Gap","","Requirement-level verification has not been completed."
